coordenadas,enlace,idea_general,nombre,num_habitantes,provincia,ubicacion
NA,https://goo.gl/maps/NTfywPP8q6QF7oLc7,NA,Avatar Dome Yoga Art,NA,Cádiz,Finca Villamon
NA,https://goo.gl/maps/DrqHV2XVH5CL5XDy5,NA,Los Portales,NA,NA,Psicología Jungiana
NA,https://goo.gl/maps/oLYQXRAZxorGRQSG6,NA,oasisalhamam,NA,NA,NA
NA,https://goo.gl/maps/VbtBJ6hr5JHXKECk6,NA,Molino de Guadalmesí,NA,NA,NA
NA,https://goo.gl/maps/2JLomLxiny8C3GCn6,NA,Valle de Sensaciones,NA,NA,NA
NA,https://goo.gl/maps/3oRa6nJksit4DLJf9,NA,El Calabacino,NA,NA,NA
NA,https://goo.gl/maps/QGM9gFwKtYAj1kcw6,NA,Lakabe,NA,NA,NA
NA,https://goo.gl/maps/VKj8GqQqqXpZUwb79,NA,Aterra Bizimodu,NA,NA,NA
NA,https://goo.gl/maps/VKj8GqQqqXpZUwb79,NA,Garaldea Ecofeminista,NA,espiritual y saberes.,emocional
NA,https://goo.gl/maps/epXStm2CytAciiAw8,NA,Ecoaldea Valdepiélagos,NA,NA,NA
NA,https://maps.app.goo.gl/Rkv4Yx2yLMRPfXDN8,NA,TierraLuz,NA,NA,NA
NA,https://g.page/Mas-Franch?share,NA,Mas Franch,NA,NA,NA
NA,https://goo.gl/maps/v1Bw9eYZg4Cu6RWu7,NA,Can Masdéu,NA,NA,NA
NA,https://goo.gl/maps/NeFAddyGa2dxsZkE9,NA,Ecoaldea Shakti,NA,NA,NA
NA,https://goo.gl/maps/sPBPRFPuaFpWEHwy9,NA,Biovives,NA,NA,NA
NA,https://goo.gl/maps/ooYQejKxZtn4mHfcA,NA,El Nido Feliz,NA,NA,NA
NA,https://goo.gl/maps/eo1Fo2yYbchwnbHV6,NA,Aldea de Olla,NA,NA,NA
NA,https://goo.gl/maps/kwSoaXcnxH621tno7,NA,Kurkum Farm Eco Vida,NA,NA,NA
NA,https://goo.gl/maps/iLDGHyTwyEg64zhT7,NA,La Bioescuela Mayjal,NA,NA,NA
NA,https://goo.gl/maps/dxU9dLFJmfXzko3NA,NA,Aguinaliu,NA,NA,NA
NA,https://goo.gl/maps/UaoMRjrnC9HKbkWy8,NA,Artosilla – Selba Vida Sostenible,NA,una forma de vida más sostenible.,"bioconstrucción, agricultura ecológica, simplicidad voluntaria y, en definitiva"
NA,https://goo.gl/maps/uzwtbjjsbU6xXF3TA,NA,Aineto – La Vieja Cadiera,NA,NA,NA
NA,https://goo.gl/maps/1ajeUTktGTTNw9i37,NA,Sieso de Jaca,NA,NA,NA
NA,https://goo.gl/maps/tiRpckotfsJZXpCy5,NA,AVA Canaria,NA,NA,NA
NA,https://goo.gl/maps/bodZ1z3Cgf7a9hdt5,NA,Finca Argayall,NA,NA,NA
NA,https://goo.gl/maps/e1SVTMHsx77NpJra9,NA,8thLife,NA,NA,NA
NA,https://goo.gl/maps/7auWjdNoEVD7c8Yx8,NA,Amalurra,NA,NA,NA
NA,https://goo.gl/maps/JmB1jfwEb8RPwAM19,NA,Matavenero,NA,NA,The Rainbow Family
NA,https://goo.gl/maps/Eikn8puN1VG9jcTt9,NA,Amigos de Armejún,NA,NA,NA
NA,https://goo.gl/maps/vCLMPGWs9b6ssYok6,NA,Valle Despierta,NA,NA,NA
NA,https://goo.gl/maps/feLsKjxqdNDeqUaA9,NA,Torlengua – Molinos de Resilencia,NA,NA,NA
NA,https://goo.gl/maps/aEDtegxXABmMqqhb8,NA,Fraguas,NA,NA,NA
NA,https://goo.gl/maps/hqmd5Mod5sR8n5JW8,NA,AGRhumus,NA,abandono de la agricultura tradicional y deterioro forestal.,"desempleo, éxodo, cierre de escuelas"
NA,https://goo.gl/maps/KhTL263zi7L7mnwU6,NA,FalconBlanco,NA,NA,NA
NA,https://goo.gl/maps/nKiiaANbh5QJibRf7,NA,Tanquián Ecofinca,NA,NA,NA
NA,https://goo.gl/maps/WYjCspBPCb1mPNtz8,NA,Proyecto O’Couso,NA,NA,NA
NA,https://proyecto.ilatan.org/,NA,Ilatán,NA,NA,NA
NA,https://goo.gl/maps/47S96qcZNjpw9yxB6,NA,KAnanda,NA,NA,NA
NA,https://g.page/la-rosina-ecovillage?share,NA,La Rosina – Ecovillage,NA,Cáceres,Las Huertas de Cansa
